"parameter","mean","sd","q2.5","q50","q97.5","Rhat","n.eff"
"Nprot[1,9]",130.119324547154,50.629813614731,22.6087387043556,139.087911400148,204.846205017356,1.19754000183625,14
"Nprot[2,9]",75.3838554963895,51.4744886130102,3.86951655922451,65.9011712537804,186.57648324421,1.17796973404204,16
"Nprot[1,10]",132.773956597521,50.9742986484688,23.3418879938661,142.328095562471,206.584469092476,1.1887827343147,15
"Nprot[2,10]",73.290770204665,51.1474812280785,3.64301736874383,63.0359372394929,185.440730658234,1.17836712164039,16
"Nprot[1,11]",135.504848577436,51.3663801645297,24.098469582474,145.602861894765,208.884028280156,1.17984086850941,16
"Nprot[2,11]",71.2948196337477,50.8549691963594,3.40298293943179,60.5241700797213,184.63333169399,1.17834530888615,16
"Nprot[1,12]",138.314511067976,51.8107810031578,24.8193153063463,148.876602098236,211.614539510652,1.17075057776072,16
"Nprot[2,12]",69.3906336447832,50.5927832371038,3.19945255975872,57.9897349081748,183.473129526811,1.17795330228542,16
"Nprot[1,13]",141.205562859772,52.3125650368355,25.5974305412044,152.432094139141,214.610495435458,1.16155272123394,17
"Nprot[2,13]",67.5731864906266,50.3573682119668,3.00605725784637,55.566534011427,182.418499088082,1.17723686151695,16
"Nprot[1,14]",144.180732713013,52.8771378274271,26.1867715429691,155.939590418614,218.242340201224,1.15229237708671,18
"Nprot[2,14]",65.8377722932167,50.1457014184265,2.80324074860492,53.3651411095313,181.373554800623,1.17623813060365,16
"Nprot[1,15]",147.242861846757,53.5102444153709,26.878466390324,159.203100118831,222.666440156042,1.14301818280632,19
"Nprot[2,15]",64.1799824855889,49.9552205850165,2.59277534837468,51.2901505922107,180.497266803891,1.1749954883744,16
"Nprot[1,16]",150.394907041731,54.2179640313043,27.4085730054148,162.732868458651,227.197441865824,1.13378149549756,20
"Nprot[2,16]",62.5956850282245,49.7837607649025,2.36253558655979,49.2251955104677,179.518225861654,1.17354355878051,16
"Density[1]",0.0519424661951628,0.00545655932188883,0.0415179552956738,0.0517631739672412,0.0634633751508256,1.00738937198257,293
"Density[2]",0.0516941175637903,0.00492395167183555,0.0421169538524796,0.0515453057733584,0.0619916583705656,1.00714291927489,295
"Density[3]",0.0514999228415983,0.00442903567435108,0.0428310232307212,0.0513974156784525,0.0606864852146678,1.00696075537415,297
"Density[4]",0.0513579277609631,0.00397187925422369,0.0435026489348814,0.0512954277589779,0.0595787072697235,1.00680490923438,300
"Density[5]",0.0512663808554401,0.00355439521098036,0.0441744144865166,0.0512379842254762,0.0585716402220765,1.00661503715113,307
"Density[6]",0.0512237150998059,0.00318097537024224,0.0448697754173295,0.0512189021886916,0.0577217611218166,1.00630086564779,321
"Density[7]",0.0512285325754504,0.00285922528788749,0.0454550898455632,0.0512367773078569,0.0570083170999214,1.00574510210355,349
"Density[8]",0.051279591483004,0.00260045489127531,0.0460839963219287,0.0512736465041667,0.0564939060445463,1.00484133548946,410
"Density[9]",0.0513757950108858,0.00241905461691185,0.0465735747184185,0.0513709378596195,0.0561684293265738,1.00359147380629,544
"Density[10]",0.0515161817005465,0.00232951325902916,0.0469338898802707,0.0515179031952364,0.0561187778660531,1.00221147307831,874
"Density[11]",0.051699917052796,0.00234101734317802,0.0470675868174615,0.0516882791016782,0.0563365491368438,1.00107424502128,1876
"Density[12]",0.0519262861781899,0.00245282751944871,0.0470351108607303,0.0519097665494757,0.0568245015970258,1.00046055321847,5445
"Density[13]",0.0521946873375997,0.00265466396651871,0.0468691326412906,0.0521905533372517,0.0575119867997858,1.00041153475707,6670
"Density[14]",0.0525046262515575,0.00293164445526535,0.0467010341889851,0.0524734036605498,0.0583879205280712,1.00081226019903,2702
"Density[15]",0.0528557110830863,0.00326934006060776,0.0463875531232627,0.0527986187037596,0.0594914289735742,1.00151951837466,1336
"Density[16]",0.053247648017489,0.00365629446473926,0.046076276062358,0.0531806420759244,0.0607125028210427,1.00242058103037,827
"lambda.prot[1,1]",1.02302381076649,0.0138993141912465,0.998401356041795,1.02199674858154,1.05247029522387,1.19004280203131,15
"lambda.prot[2,1]",0.961114021557659,0.0266254886302469,0.906358112931897,0.96322619720573,1.00550474259589,1.0881359825117,30
"lambda.prot[1,2]",1.02303884180684,0.0138958458988482,0.998413362724858,1.02200518883291,1.05249162124422,1.19002373646155,15
"lambda.prot[2,2]",0.961116584876226,0.0266244117395476,0.906366447045204,0.963232128827819,1.00550780403898,1.08813214128231,30
"lambda.prot[1,3]",1.02305022826169,0.0138930918466501,0.998421594981885,1.02201601011514,1.05250042082802,1.19000813578603,15
"lambda.prot[2,3]",0.961118378483852,0.0266236207554621,0.906372422231298,0.963236359561869,1.00550992800178,1.0881293441136,30
"lambda.prot[1,4]",1.02305886171965,0.0138909080882631,0.998436185325004,1.022023483084,1.05250300280765,1.18999543475594,15
"lambda.prot[2,4]",0.96111963790006,0.0266230409740609,0.9063767061223,0.963239379273626,1.00551140484408,1.08812730441373,30
"lambda.prot[1,5]",1.02306541390287,0.0138891786540953,0.998447494656427,1.02202798617921,1.05250484434583,1.18998513787353,15
"lambda.prot[2,5]",0.961120524782246,0.0266226153879123,0.906379777407509,0.963241535353175,1.00551243157727,1.08812582092085,30
"lambda.prot[1,6]",1.02307039111625,0.0138878103648356,0.998456141331302,1.02203129311426,1.05250605632516,1.18997681975507,15
"lambda.prot[2,6]",0.961121150910505,0.0266223021534067,0.906381979307444,0.963243074628471,1.00551314474627,1.08812474493724,30
"lambda.prot[1,7]",1.02307417535786,0.0138867286712681,0.998465417745097,1.02203384055998,1.05250688638665,1.18997012041008,15
"lambda.prot[2,7]",0.961121594071724,0.026622071150333,0.906383557908151,0.963244173379059,1.00551363989398,1.08812396517109,30
"lambda.prot[1,8]",1.02307705516004,0.0138858741390827,0.998472855387718,1.02203662780455,1.0525074724928,1.1899647385404,15
"lambda.prot[2,8]",0.961121908627654,0.0266219006510203,0.906384689645281,0.963244957768741,1.00551398383816,1.08812339958868,30
"lambda.prot[1,9]",1.02307924866561,0.0138851994704215,0.998478703361664,1.02203924939638,1.05250788635577,1.18996042433274,15
"lambda.prot[2,9]",0.961122132531674,0.0266217746924297,0.906385501013505,0.96324551786538,1.00551422283366,1.08812298920575,30
"lambda.prot[1,10]",1.02308092093627,0.0138846670738809,0.99848330144506,1.02204077970711,1.05250817861727,1.18995697227078,15
"lambda.prot[2,10]",0.961122292327933,0.0266216815027937,0.90638608270108,0.963245917858917,1.00551438889698,1.08812269158235,30
"lambda.prot[1,11]",1.02308219697461,0.0138842471151737,0.998486916796642,1.02204150388631,1.05250838501179,1.18995421433203,15
"lambda.prot[2,11]",0.961122406656597,0.0266216124381975,0.906386499725103,0.963246203520598,1.0055145042581,1.08812247586587,30
"lambda.prot[1,12]",1.0230831715325,0.0138839159525524,0.998489759471974,1.02204204016899,1.0525085307647,1.18995201383155,15
"lambda.prot[2,12]",0.961122488667711,0.0266215611767105,0.906386798698148,0.963246407537062,1.00551458439619,1.08812231950489,30
"lambda.prot[1,13]",1.02308391649843,0.0138836548749659,0.998491994626623,1.0220424373884,1.05250863369239,1.18995026003847,15
"lambda.prot[2,13]",0.961122547654836,0.0266215230774216,0.906387013037964,0.963246553257726,1.00551464007183,1.08812220612425,30
"lambda.prot[1,14]",1.02308448646367,0.0138834490876277,0.998493752112706,1.02204273166449,1.05250870637913,1.18994886356408,15
"lambda.prot[2,14]",0.96112259019385,0.0266214947190955,0.906387166702498,0.963246657352916,1.00551467875518,1.08812212389564,30
"lambda.prot[1,15]",1.02308492292075,0.0138832869012253,0.998495134025052,1.02204294971955,1.05250875771124,1.18994775246486,15
"lambda.prot[2,15]",0.961122620948412,0.0266214735765146,0.906387276867711,0.963246731720016,1.00551470563157,1.0881220642668,30
"lambda.tot[1]",0.996265588690413,0.0115529125446467,0.972900181742221,0.996522858034019,1.01825826588396,1.00679131584811,417
"lambda.tot[2]",0.997146250021449,0.0112007141952783,0.974684094979075,0.997334966416835,1.01873266546632,1.00621418413486,427
"lambda.tot[3]",0.998013005574136,0.0108821185171303,0.976290240689323,0.998102584702219,1.01921359872034,1.00574894062564,432
"lambda.tot[4]",0.998864842933531,0.0105989452633519,0.977855008221595,0.998821827042508,1.01972351894031,1.00540936654281,431
